,USDAUD,USDEUR,USDGBP,USDJPY,ds
0,1.249102,0.8336,0.739931,111.594002,19/09/2017
1,1.254304,0.836504,0.74096,111.95804,22/09/2017
2,1.259497,0.843201,0.74199,111.757004,25/09/2017
3,1.274303,0.848601,0.74459,112.457001,28/09/2017
4,1.2752,0.846697,0.746694,112.644997,01/10/2017
5,1.271901,0.850096,0.75582,112.825996,04/10/2017
6,1.285104,0.852304,0.76539,112.544998,07/10/2017
7,1.284099,0.846197,0.75696,112.346001,10/10/2017
8,1.265404,0.845704,0.75262,111.79104,13/10/2017
9,1.274301,0.847601,0.75453,112.190002,16/10/2017
10,1.269499,0.843802,0.76037,112.681014,19/10/2017
11,1.280799,0.850499,0.75811,114.033997,22/10/2017
12,1.297196,0.845794,0.7534,113.556999,25/10/2017
13,1.301041,0.861104,0.76171,113.639999,28/10/2017
14,1.305497,0.858014,0.75235,113.649002,31/10/2017
15,1.305404,0.86104,0.76478,113.98604,03/11/2017
16,1.300498,0.860895,0.75908,113.765999,06/11/2017
17,1.301503,0.8584,0.760795,113.360971,09/11/2017
18,1.307604,0.857298,0.76221,113.692001,12/11/2017
19,1.316798,0.848499,0.75903,112.782997,15/11/2017
20,1.319904,0.847904,0.75677,111.996002,18/11/2017
21,1.317998,0.851702,0.75498,112.342003,21/11/2017
22,1.311404,0.837804,0.74974,111.487999,24/11/2017
23,1.314304,0.8398,0.75069,111.143997,27/11/2017
24,1.322097,0.840302,0.73905,112.556999,30/11/2017
25,1.317498,0.8431,0.74121,112.869003,03/12/2017
26,1.321398,0.8469,0.74673,112.303001,06/12/2017
27,1.330404,0.849304,0.74698,113.386002,09/12/2017
28,1.323201,0.851404,0.750801,113.540973,12/12/2017
29,1.306204,0.850904,0.75069,112.577003,15/12/2017
30,1.304403,0.848398,0.74741,112.575996,18/12/2017
31,1.297498,0.843203,0.74738,113.328003,21/12/2017
32,1.2951,0.843603,0.74776,113.299004,24/12/2017
33,1.286099,0.840097,0.74606,113.212997,27/12/2017
34,1.279204,0.833204,0.74062,112.613998,30/12/2017
35,1.276499,0.828697,0.73557,112.247002,02/01/2018
36,1.269904,0.831104,0.73703,112.985001,05/01/2018
37,1.274196,0.835197,0.73687,113.144997,08/01/2018
38,1.267804,0.830201,0.73847,111.287003,11/01/2018
39,1.263904,0.819898,0.728149,111.096001,14/01/2018
40,1.253803,0.820498,0.72314,111.345001,17/01/2018
41,1.249304,0.817904,0.72172,110.614998,20/01/2018
42,1.248899,0.811803,0.71336,110.083028,23/01/2018
43,1.231404,0.804504,0.70643,108.515999,26/01/2018
44,1.23498,0.807496,0.71052,108.926003,29/01/2018
45,1.243803,0.799102,0.70095,109.399002,01/02/2018
46,1.264903,0.803203,0.70871,110.037003,04/02/2018
47,1.279299,0.814803,0.72059,109.176003,07/02/2018
48,1.279104,0.815804,0.72325,108.77704,10/02/2018
49,1.271802,0.809203,0.72021,107.762001,13/02/2018
50,1.261804,0.805304,0.71288,106.125999,16/02/2018
51,1.264204,0.806502,0.71482,106.737014,19/02/2018
52,1.275596,0.81103,0.71681,106.819035,22/02/2018
53,1.275602,0.813701,0.71594,107.072998,25/02/2018
54,1.287903,0.819681,0.72721,106.635002,28/02/2018
55,1.287704,0.811704,0.72446,105.716003,03/03/2018
56,1.284198,0.8052,0.71953,105.535004,06/03/2018
57,1.273041,0.812304,0.72207,106.769997,09/03/2018
58,1.270106,0.810204,0.71912,106.279999,12/03/2018
59,1.283702,0.812301,0.71752,106.314003,15/03/2018
60,1.295903,0.814097,0.71721,105.963997,18/03/2018
61,1.285983,0.809598,0.706965,105.939003,21/03/2018
62,1.298504,0.808904,0.70767,104.728996,24/03/2018
63,1.300501,0.805603,0.70534,105.473012,27/03/2018
64,1.301604,0.811204,0.71347,106.248001,30/03/2018
65,1.306599,0.813199,0.71191,105.804001,02/04/2018
66,1.304102,0.815903,0.71388,107.071999,05/04/2018
67,1.301903,0.814698,0.70964,106.967003,08/04/2018
68,1.287603,0.808101,0.70481,106.833993,11/04/2018
69,1.287304,0.810604,0.70248,107.320385,14/04/2018
70,1.287396,0.807979,0.69945,107.013025,17/04/2018
71,1.303604,0.813804,0.71415,107.647003,20/04/2018
72,1.315202,0.818799,0.71742,108.769997,23/04/2018
73,1.323096,0.825601,0.71845,109.308998,26/04/2018
74,1.3201,0.824801,0.72617,109.112999,29/04/2018
75,1.335503,0.836399,0.73684,109.824997,02/05/2018
76,1.325904,0.835704,0.73915,109.100998,05/05/2018
77,1.3424,0.842399,0.73779,109.025002,08/05/2018
78,1.325104,0.836904,0.73843,109.379997,11/05/2018
79,1.328399,0.837797,0.73727,109.712997,14/05/2018
80,1.331703,0.847801,0.74008,110.833029,17/05/2018
81,1.328902,0.849599,0.74196,110.878998,20/05/2018
82,1.3214,0.853802,0.747919,109.887001,23/05/2018
83,1.323204,0.857204,0.75196,109.425003,26/05/2018
84,1.336098,0.866402,0.75445,108.392998,29/05/2018
85,1.320904,0.857204,0.74934,109.517998,01/06/2018
86,1.306603,0.854396,0.75094,109.959999,04/06/2018
87,1.312703,0.847703,0.74529,109.704002,07/06/2018
88,1.3155,0.8486,0.7455,109.455,10/06/2018
89,1.320499,0.846898,0.74719,110.247002,13/06/2018
90,1.343604,0.861704,0.75268,110.635002,16/06/2018
91,1.353098,0.862502,0.75904,110.073997,19/06/2018
92,1.343104,0.85804,0.75388,109.855003,22/06/2018
93,1.349095,0.854403,0.75309,109.641998,25/06/2018
94,1.361101,0.864597,0.76481,110.488998,28/06/2018
95,1.351396,0.855897,0.75706,110.712997,01/07/2018
96,1.354397,0.857299,0.75582,110.489998,04/07/2018
97,1.345204,0.850404,0.75252,110.463997,07/07/2018
98,1.348302,0.852504,0.75425,110.844002,10/07/2018
99,1.346404,0.855504,0.75557,112.330002,13/07/2018
100,1.3486,0.853695,0.755497,112.385002,16/07/2018
101,1.357973,0.857694,0.76777,112.349998,19/07/2018
